experiment_id,canonical_directory,purpose,scientific_question,benchmark_set,methods,parameters,seeds_repetitions,status,completion_marker,raw_data_status,checkpoint_status,summary_status,manuscript_use,or1_use,source_commit_hint,reproducibility_level,duplication_notes,stale_notes,limitations
EXP1,experiments/exp1_core_benchmark,Legacy core benchmark with legacy WMSF seed mode,Do LR-TA WMSF and IPSNS satisfy incumbent protection on full sparse benchmark with legacy internal WMSF seed?,alidasdan/graph-benchmarks 105 unique instances (123 listed),lrta_full;wmsf_seed;ipsns_full,wmsf_seed_mode=legacy;ipsns_iters=400;rng_seed=1,single_run_per_instance,ARCHIVED_SUPERSEDED,summary/exp1_core_benchmark_stats.json,gitignored_regenerable,none_committed,complete_committed,DO_NOT_CITE,not_included,pre-seedfix,full_with_raw_regeneration,Superseded by EXP1b for WMSF seed mode; 1 incumbent violation artifact of legacy seed,README marks archived; seed mismatch documented in seedfix_full_wmsf,Legacy WMSF seed does not match standalone WMSF pipeline
EXP1b,experiments/exp1b_core_benchmark_full_wmsf_seed,Definitive main sparse benchmark with full WMSF seed,On full sparse benchmark does IPSNS never degrade LR-TA/WMSF seeds and improve on subset?,alidasdan/graph-benchmarks 105 unique instances,lrta_full;wmsf_seed;ipsns_full,wmsf_seed_mode=full;ipsns_iters=400;rng_seed=1,single_run_per_instance,COMPLETE,summary/exp1b_core_benchmark_stats.json,gitignored_regenerable,none_committed,complete_committed,primary_internal_benchmark,results/exp1,post-seedfix,full_with_raw_regeneration,Replaces EXP1 for manuscript claims,,Single seed per method; no stochastic robustness
EXP2,experiments/exp2_ablation,Component ablation study,What is contribution of add-back WMSF seed LNS iterations and SCC priority?,10 representative instances from graph-benchmarks,lr_no_addback;lrta_full;wmsf_seed;best_seed_no_lns;ipsns_no_scc_priority;ipsns_50iters;ipsns_100iters;ipsns_full,8 variants;ipsns_full iters=400,single_run_per_variant,COMPLETE,summary/exp2_ablation_stats.json,gitignored_regenerable,none_committed,complete_committed,ablation_table,results/exp2,,full_with_raw_regeneration,,,Small 10-instance subset; not full benchmark
EXP3,experiments/exp3_exact_small,Exact small-instance optimality validation,How close are heuristics to bitmask DP optimum on n<=20?,57 standard non-negative instances n<=20,lrta_full;wmsf_seed;ipsns_full;exact_dp,exact_dp n_limit=20,single_run,COMPLETE,summary/exp3_exact_stats.json,gitignored_regenerable,none_committed,complete_committed,exact_validation_table,results/exp3,,full_with_raw_regeneration,,,Only n<=20; one near-miss r20_60
EXP4,experiments/exp4_external_baselines,External baseline comparison on sparse benchmark,Does IPSNS beat strong external FAS heuristics on sparse set?,97 standard non-negative sparse instances,ipsns_full;lrta_full;wmsf_seed;borda_net_score;weighted_eades;random_multistart;igraph_approx_eades;drmaciver_fas,ipsns_iters=400;external_tools vendored,single_run_per_algorithm,COMPLETE,summary/exp4_external_stats.json,gitignored_regenerable,none_committed,complete_committed,primary_sparse_comparison,results/exp4,,partial_requires_external_binaries,,,DRMaciver 4 incomplete; negative-weight excluded
EXP5,experiments/exp5_lolib_dense,Dense LOLIB transfer study,How does IPSNS transfer to dense tournament graphs?,50 LOLIB instances (25 SGB 10 IO 15 RandA1),lrta_full;wmsf_seed;ipsns_full;borda;weighted_eades;random_multistart;igraph;drmaciver,same as EXP4 baselines,single_run,COMPLETE,summary/exp5_lolib_stats.json,gitignored_regenerable,none_committed,complete_committed,lolib_scope_boundary,results/exp5,,partial_requires_external_binaries,,README once said in progress; summary shows complete,Scope boundary; DRMaciver dominates dense random
EXP6,experiments/exp6_ipsns_budget_curve,IPSNS iteration budget curve,Where does IPSNS quality saturate vs runtime?,20-instance representative sparse subset,ipsns at budgets 10 25 50 100 200 400,"budgets=10,25,50,100,200,400;subset from EXP4 gains",single_run_per_budget,COMPLETE,summary/exp6_final_report.md,gitignored_regenerable,none_committed,complete_committed,budget_curve_table_figure,results/exp6,,full_with_raw_regeneration,Uses EXP4 references for LR-TA/WMSF/full IPSNS,,20-instance subset; quality flat across budgets on subset
EXP7,experiments/exp7_plain_local_search,Plain local search comparator,Can generic order-LS match IPSNS gains?,20-instance subset (same as EXP6),lrta_adj_swap_ls;lrta_insert_ls;bestseed_insert_ls,max_passes=20;max_moves=200;time_limit=60s,single_run,COMPLETE,summary/exp7_final_report.md,gitignored_regenerable,none_committed,complete_committed,plain_ls_table,results/exp7,,full_with_raw_regeneration,References EXP4/EXP6 for IPSNS baselines,,18 non-negative instances in manuscript subset
EXP8,experiments/exp8_medium_mip_baseline,Time-capped MIP/LP baseline medium instances,How close is IPSNS to solver incumbents/bounds on medium n?,15 medium sparse instances n=20..318,scipy.optimize.milp HiGHS MIP or LP relaxation,time_limit=120s;full MIP n<=200 LP n>200,single_run,COMPLETE,summary/exp8_final_report.md,gitignored_regenerable,none_committed,complete_committed,mip_baseline_table,results/exp8,,full_with_raw_regeneration,,,LP relaxation only for n>200; many time_limit statuses
EXP9,experiments/exp9_application_case,Wikipedia adminship vote application case study,Does framework apply to real social network ranking?,SNAP wiki-Vote top-50 nodes converted DIMACS,lrta_full;wmsf_seed;ipsns_full;drmaciver;igraph;weighted_eades,top_n=50 default,single_run,COMPLETE,summary/exp9_final_report.md,gitignored_regenerable,none_committed,complete_committed,application_case_table,results/exp9,,partial_requires_SNAP_download,,README setup once pending; summary exists,Single application dataset; top-N subgraph
