instance,family,lolib_source,dimacs_path,metadata_path,n,total_weight,bks_forward_if_available
N-sgb75_01,SGB,N-sgb75.01,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_01.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_01.meta.json,75,3766702,
N-sgb75_02,SGB,N-sgb75.02,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_02.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_02.meta.json,75,3582232,
N-sgb75_03,SGB,N-sgb75.03,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_03.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_03.meta.json,75,3789067,
N-sgb75_04,SGB,N-sgb75.04,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_04.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_04.meta.json,75,3771211,
N-sgb75_05,SGB,N-sgb75.05,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_05.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_05.meta.json,75,3735746,
N-sgb75_06,SGB,N-sgb75.06,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_06.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_06.meta.json,75,3734819,
N-sgb75_07,SGB,N-sgb75.07,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_07.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_07.meta.json,75,3769732,
N-sgb75_08,SGB,N-sgb75.08,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_08.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_08.meta.json,75,3739236,
N-sgb75_09,SGB,N-sgb75.09,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_09.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_09.meta.json,75,3713077,
N-sgb75_10,SGB,N-sgb75.10,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_10.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_10.meta.json,75,3773676,
N-sgb75_11,SGB,N-sgb75.11,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_11.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_11.meta.json,75,3773229,
N-sgb75_12,SGB,N-sgb75.12,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_12.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_12.meta.json,75,3706133,
N-sgb75_13,SGB,N-sgb75.13,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_13.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_13.meta.json,75,3741516,
N-sgb75_14,SGB,N-sgb75.14,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_14.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_14.meta.json,75,3775021,
N-sgb75_15,SGB,N-sgb75.15,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_15.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_15.meta.json,75,3769634,
N-sgb75_16,SGB,N-sgb75.16,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_16.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_16.meta.json,75,3790712,
N-sgb75_17,SGB,N-sgb75.17,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_17.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_17.meta.json,75,3792880,
N-sgb75_18,SGB,N-sgb75.18,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_18.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_18.meta.json,75,3543100,
N-sgb75_19,SGB,N-sgb75.19,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_19.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_19.meta.json,75,3772498,
N-sgb75_20,SGB,N-sgb75.20,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_20.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_20.meta.json,75,3768706,
N-sgb75_21,SGB,N-sgb75.21,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_21.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_21.meta.json,75,3779106,
N-sgb75_22,SGB,N-sgb75.22,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_22.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_22.meta.json,75,3739829,
N-sgb75_23,SGB,N-sgb75.23,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_23.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_23.meta.json,75,3763469,
N-sgb75_24,SGB,N-sgb75.24,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_24.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_24.meta.json,75,3778423,
N-sgb75_25,SGB,N-sgb75.25,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_25.d,experiments/exp5_lolib_dense/converted/SGB/N-sgb75_25.meta.json,75,3769515,
N_be75eec,IO,N-be75eec,experiments/exp5_lolib_dense/converted/IO/N_be75eec.d,experiments/exp5_lolib_dense/converted/IO/N_be75eec.meta.json,50,244250,
N_be75np,IO,N-be75np,experiments/exp5_lolib_dense/converted/IO/N_be75np.d,experiments/exp5_lolib_dense/converted/IO/N_be75np.meta.json,50,742630,
N_be75oi,IO,N-be75oi,experiments/exp5_lolib_dense/converted/IO/N_be75oi.d,experiments/exp5_lolib_dense/converted/IO/N_be75oi.meta.json,50,113994,
N_be75tot,IO,N-be75tot,experiments/exp5_lolib_dense/converted/IO/N_be75tot.d,experiments/exp5_lolib_dense/converted/IO/N_be75tot.meta.json,50,1026004,
N_stabu70,IO,N-stabu70,experiments/exp5_lolib_dense/converted/IO/N_stabu70.d,experiments/exp5_lolib_dense/converted/IO/N_stabu70.meta.json,60,388248,
N_stabu74,IO,N-stabu74,experiments/exp5_lolib_dense/converted/IO/N_stabu74.d,experiments/exp5_lolib_dense/converted/IO/N_stabu74.meta.json,60,574775,
N_stabu75,IO,N-stabu75,experiments/exp5_lolib_dense/converted/IO/N_stabu75.d,experiments/exp5_lolib_dense/converted/IO/N_stabu75.meta.json,60,588686,
N_tiw56n54,IO,N-tiw56n54,experiments/exp5_lolib_dense/converted/IO/N_tiw56n54.d,experiments/exp5_lolib_dense/converted/IO/N_tiw56n54.meta.json,56,96280,
N_tiw56r54,IO,N-tiw56r54,experiments/exp5_lolib_dense/converted/IO/N_tiw56r54.d,experiments/exp5_lolib_dense/converted/IO/N_tiw56r54.meta.json,56,108807,
N_usa79,IO,N-usa79,experiments/exp5_lolib_dense/converted/IO/N_usa79.d,experiments/exp5_lolib_dense/converted/IO/N_usa79.meta.json,79,1948625,
N_t1d100_01,RandA1,N-t1d100.01,experiments/exp5_lolib_dense/converted/RandA1/N_t1d100_01.d,experiments/exp5_lolib_dense/converted/RandA1/N_t1d100_01.meta.json,100,163151,
N_t1d100_02,RandA1,N-t1d100.02,experiments/exp5_lolib_dense/converted/RandA1/N_t1d100_02.d,experiments/exp5_lolib_dense/converted/RandA1/N_t1d100_02.meta.json,100,163604,
N_t1d100_03,RandA1,N-t1d100.03,experiments/exp5_lolib_dense/converted/RandA1/N_t1d100_03.d,experiments/exp5_lolib_dense/converted/RandA1/N_t1d100_03.meta.json,100,168461,
N_t1d100_04,RandA1,N-t1d100.04,experiments/exp5_lolib_dense/converted/RandA1/N_t1d100_04.d,experiments/exp5_lolib_dense/converted/RandA1/N_t1d100_04.meta.json,100,168195,
N_t1d100_05,RandA1,N-t1d100.05,experiments/exp5_lolib_dense/converted/RandA1/N_t1d100_05.d,experiments/exp5_lolib_dense/converted/RandA1/N_t1d100_05.meta.json,100,168091,
N_t1d150_01,RandA1,N-t1d150.01,experiments/exp5_lolib_dense/converted/RandA1/N_t1d150_01.d,experiments/exp5_lolib_dense/converted/RandA1/N_t1d150_01.meta.json,150,377711,
N_t1d150_02,RandA1,N-t1d150.02,experiments/exp5_lolib_dense/converted/RandA1/N_t1d150_02.d,experiments/exp5_lolib_dense/converted/RandA1/N_t1d150_02.meta.json,150,374212,
N_t1d150_03,RandA1,N-t1d150.03,experiments/exp5_lolib_dense/converted/RandA1/N_t1d150_03.d,experiments/exp5_lolib_dense/converted/RandA1/N_t1d150_03.meta.json,150,378390,
N_t1d150_04,RandA1,N-t1d150.04,experiments/exp5_lolib_dense/converted/RandA1/N_t1d150_04.d,experiments/exp5_lolib_dense/converted/RandA1/N_t1d150_04.meta.json,150,374696,
N_t1d150_05,RandA1,N-t1d150.05,experiments/exp5_lolib_dense/converted/RandA1/N_t1d150_05.d,experiments/exp5_lolib_dense/converted/RandA1/N_t1d150_05.meta.json,150,374817,
N_t1d200_01,RandA1,N-t1d200.01,experiments/exp5_lolib_dense/converted/RandA1/N_t1d200_01.d,experiments/exp5_lolib_dense/converted/RandA1/N_t1d200_01.meta.json,200,672568,
N_t1d200_02,RandA1,N-t1d200.02,experiments/exp5_lolib_dense/converted/RandA1/N_t1d200_02.d,experiments/exp5_lolib_dense/converted/RandA1/N_t1d200_02.meta.json,200,666887,
N_t1d200_03,RandA1,N-t1d200.03,experiments/exp5_lolib_dense/converted/RandA1/N_t1d200_03.d,experiments/exp5_lolib_dense/converted/RandA1/N_t1d200_03.meta.json,200,667017,
N_t1d200_04,RandA1,N-t1d200.04,experiments/exp5_lolib_dense/converted/RandA1/N_t1d200_04.d,experiments/exp5_lolib_dense/converted/RandA1/N_t1d200_04.meta.json,200,670817,
N_t1d200_05,RandA1,N-t1d200.05,experiments/exp5_lolib_dense/converted/RandA1/N_t1d200_05.d,experiments/exp5_lolib_dense/converted/RandA1/N_t1d200_05.meta.json,200,675232,
