directory,purpose,file_count,total_size_bytes,tracked_count,ignored_count,canonical,active,historical,publication_relevant,duplication_risk,recommended_future_action,notes
.,supporting,13,1329826,12,1,partial,yes,no,no,low,retain,
.github/workflows,supporting,1,1067,1,0,partial,yes,no,no,low,retain,
.pytest_cache,supporting,3,530,0,3,partial,yes,no,no,low,retain,
.pytest_cache/v/cache,supporting,1,6731,0,1,partial,yes,no,no,low,retain,
archive/predecessor_projects,supporting,3,279718,3,0,partial,yes,no,no,low,retain,
configs,supporting,5,8869,5,0,partial,yes,no,no,low,retain,
docs,supporting,10,76273,10,0,partial,yes,no,no,low,retain,
docs/coap_cover_letter_and_upload_20260612,supporting,20,33661,13,7,partial,yes,no,no,low,retain,
docs/coap_exp10_manuscript_integration_20260611,supporting,12,15390,9,3,partial,yes,no,no,low,retain,
docs/coap_manuscript_reframing_20260611,supporting,13,113473,10,3,partial,yes,no,no,low,retain,
docs/coap_manuscript_reframing_20260611/paper_coap_pre_edit_backup,supporting,19,937310,0,19,partial,yes,no,yes,low,retain,
docs/coap_manuscript_reframing_20260611/paper_coap_pre_edit_backup/bibliography,supporting,1,9976,0,1,partial,yes,no,yes,low,retain,
docs/coap_manuscript_reframing_20260611/paper_coap_pre_edit_backup/declarations,supporting,1,1423,0,1,partial,yes,no,yes,low,retain,
docs/coap_manuscript_reframing_20260611/paper_coap_pre_edit_backup/figures,supporting,5,65351,0,5,partial,yes,no,yes,low,retain,
docs/coap_manuscript_reframing_20260611/paper_coap_pre_edit_backup/notes,supporting,12,37229,0,12,partial,yes,no,yes,low,retain,
docs/coap_manuscript_reframing_20260611/paper_coap_pre_edit_backup/sections,supporting,9,95541,0,9,partial,yes,no,yes,low,retain,
docs/coap_manuscript_reframing_20260611/paper_coap_pre_edit_backup/supplementary,supporting,1,580,0,1,partial,yes,no,yes,low,retain,
docs/coap_manuscript_reframing_20260611/paper_coap_pre_edit_backup/tables,supporting,14,15113,0,14,partial,yes,no,yes,low,retain,
docs/coap_manuscript_reframing_20260611/paper_coap_pre_edit_backup/template_reference,supporting,5,1598514,0,5,partial,yes,no,yes,low,retain,
docs/coap_online_resource_1_20260611,supporting,16,11440,12,4,partial,yes,no,yes,low,retain,
docs/coap_online_resource_finalization_20260611,supporting,21,1192689,18,3,partial,yes,no,no,low,retain,
docs/coap_online_resource_finalization_20260611/logs,supporting,10,12506,0,10,partial,yes,no,no,low,retain,
docs/coap_rejection_history_and_revision_plan_20260611,supporting,17,96415,14,3,partial,yes,no,no,low,retain,
docs/coap_test_and_ci_gate_20260611,supporting,16,76232,12,4,partial,yes,no,no,low,retain,
docs/coap_test_and_ci_gate_20260611/logs,supporting,2,8319,0,2,partial,yes,no,no,low,retain,
docs/coap_test_and_ci_gate_20260611/minimal_reproducers,supporting,1,231,1,0,partial,yes,no,no,low,retain,
docs/coap_topological_extraction_audit_20260611,supporting,18,15919,14,4,partial,yes,no,no,low,retain,
