identifier,type,source_file,in_main_pdf,canonical,action
table_ablation,table,paper_coap/tables/table_ablation.tex,yes,yes,retain
table_algorithm_components,table,paper_coap/tables/table_algorithm_components.tex,yes,yes,retain
table_algorithm_invariants,table,paper_coap/tables/table_algorithm_invariants.tex,yes,yes,retain
table_application_case,table,paper_coap/tables/table_application_case.tex,yes,yes,retain
table_exact_validation,table,paper_coap/tables/table_exact_validation.tex,yes,yes,retain
table_exp10_stochastic_robustness,table,paper_coap/tables/table_exp10_stochastic_robustness.tex,yes,yes,retain
table_exp11_extraction,table,paper_coap/tables/table_exp11_extraction.tex,yes,yes,retain
table_experiment_overview,table,paper_coap/tables/table_experiment_overview.tex,yes,yes,retain
table_ipsns_budget_curve,table,paper_coap/tables/table_ipsns_budget_curve.tex,yes,yes,retain
table_lolib_scope,table,paper_coap/tables/table_lolib_scope.tex,yes,yes,retain
table_medium_mip_baseline,table,paper_coap/tables/table_medium_mip_baseline.tex,yes,yes,retain
table_paired_sparse_tests,table,paper_coap/tables/table_paired_sparse_tests.tex,yes,yes,retain
table_plain_local_search,table,paper_coap/tables/table_plain_local_search.tex,yes,yes,retain
table_runtime_quality_tradeoff,table,paper_coap/tables/table_runtime_quality_tradeoff.tex,yes,yes,retain
table_sparse_external_baselines,table,paper_coap/tables/table_sparse_external_baselines.tex,yes,yes,retain
table_structural_diagnostic,table,paper_coap/tables/table_structural_diagnostic.tex,yes,yes,retain
exp10_median_scatter,figure,paper_coap/figures/exp10_median_scatter.pdf,yes,yes,retain
exp4_relative_bw,figure,paper_coap/figures/exp4_relative_bw.pdf,yes,yes,retain
exp4_win_counts,figure,paper_coap/figures/exp4_win_counts.pdf,yes,yes,retain
exp5_lolib_scope,figure,paper_coap/figures/exp5_lolib_scope.pdf,yes,yes,retain
exp6_ipsns_budget_curve,figure,paper_coap/figures/exp6_ipsns_budget_curve.pdf,yes,yes,retain
framework_overview,figure,paper_coap/figures/framework_overview.tex,yes,yes,retain
table_runtime_quality_tradeoff,table,paper_coap/tables/table_runtime_quality_tradeoff.tex,no,orphan,exclude_or_move_or1
