file,location,current_text_summary,scientifically_necessary,editor_only,reviewer_visible,retain,revise,remove,reason
paper_coap/sections/02_related_work.tex,line 11 (before cleanup),"(submitted to the Journal of Combinatorial Optimization as JOCO-D-26-00099; rejected)",no,no,yes,no,no,yes,Journal name and manuscript ID for unpublished rejection; removed per Phase 2 policy; scientific description of LR-TA predecessor retained
paper_coap/sections/02_related_work.tex,line 13 (before cleanup),"(submitted to Discrete Applied Mathematics as DA19469; rejected)",no,no,yes,no,no,yes,Same — journal name and ID for IPSNS predecessor; removed; scientific description retained
paper_coap/sections/02_related_work.tex,lines 15-16 (before cleanup),"Related manuscripts were also submitted to Computers & Industrial Engineering and the EURO Journal on Computational Optimization; both were rejected and are no longer under consideration.",no,no,yes,no,no,yes,Entire CAIE/EJCO paragraph removed — mentioned only editorial history (venue names and rejection); no scientific content that is not already covered by the contribution list
paper_coap/declarations/statements_and_declarations.tex,lines 12-13 (before cleanup),"JOCO-D-26-00099 (Journal of Combinatorial Optimization; rejected) DA19469 (Discrete Applied Mathematics; rejected) a related submission to Computers & Industrial Engineering (rejected) a related submission to the EURO Journal on Computational Optimization (rejected)",no,no,yes,no,yes,no,Declarations are reviewer-visible; rejection list replaced with concise statement referencing §2 and stating no overlapping manuscript is under consideration
paper_coap/submission/cover_letter.tex,lines 34-36 (before cleanup),"All four journal submissions listed by name and manuscript ID with 'and was rejected' for each; cover letter paragraph named JOCO JOCO-D-26-00099 DAM DA19469 CAIE EJCO all as rejected",no,yes (cover letter is editor-only in practice),yes (editors read cover letters),no,yes,no,Rewritten to Phase 3 preferred wording — arXiv disclosure and concurrent-submission declaration only; rejection outcomes not disclosed in cover letter
paper_coap/submission/related_manuscripts_statement.tex,lines 28-60 (before cleanup),"rejected; no longer under consideration for all four; Rejected in summary table; Inactive --- rejected in table",yes (overlap description is useful for editor),yes (editor-only document),no,no,yes,no,Status wording changed from 'rejected; no longer under consideration' to 'earlier unpublished author manuscript; no longer under consideration'; journal labels changed from venue names to functional descriptions; table updated to Inactive
paper_coap/submission/EDITORIAL_MANAGER_FINAL_COPY_READY_TEXT.md,lines 11-17 (before cleanup),"All four prior journal submissions listed with rejected status in the Cleared header block",no,yes (internal metadata file),no,no,yes,no,Cleared header simplified to state concurrent-submission declaration safe without listing rejection outcomes
paper_coap/submission/EDITORIAL_MANAGER_FINAL_COPY_READY_TEXT.md,lines 115-122 (before cleanup),"All four journal submissions were rejected in the portal text field",no,no,no,no,yes,no,Portal text replaced with Phase 5 preferred wording — mentions arXiv and inactive predecessors without naming venues or stating rejected
paper_coap/submission/AUTHOR_PRE_SUBMISSION_CONFIRMATION.md,lines 15-22,Repository records listing all four as author-confirmed rejected,no,yes (internal checklist not uploaded),no,yes,no,no,Internal file; rejection records retained as evidence for author's own reference
paper_coap/sections/04_algorithmic_framework.tex,line 84,"the incumbent is updated only if the new backward weight is strictly smaller; the move is rejected",yes — algorithmic terminology for move rejection,no,yes,yes,no,no,Scientific use of 'rejected' for IPSNS move-rejection logic; retain unchanged
paper_coap/sections/06_results.tex,line 26,"two DAG inputs rejected by the wrapper",yes — documents a DRMacIver wrapper behavior,no,yes,yes,no,no,Technical description of wrapper behavior; not editorial history; retain unchanged
