surface,file,section,related_item,disclosure_text_summary,status_as_disclosed,disclosure_accurate,change_required,change_description
cover_letter,paper_coap/submission/cover_letter.tex,concurrent-submission declaration,ALL,"I confirm that no substantially overlapping manuscript by me is under consideration elsewhere at the time of submission.",N/A — blanket declaration,CONSISTENT WITH REPOSITORY EVIDENCE — not formally verified,NO,None
cover_letter,paper_coap/submission/cover_letter.tex,related manuscripts paragraph,arXiv:2412.16181,"co-authored arXiv preprint (Vahidi and Koutis); cited as prior dissemination of MWFAS problem framing",PREPRINT_ONLY,YES — confirmed public and not a journal submission,NO,None
cover_letter,paper_coap/submission/cover_letter.tex,related manuscripts paragraph,JOCO-D-26-00099,"predecessor LR-TA manuscript submitted to JOCO; described as predecessor work; editorial outcome noted as documented in author records",STATUS_UNVERIFIED (inferred REJECTED),YES — wording is accurately hedged,NO,None
cover_letter,paper_coap/submission/cover_letter.tex,related manuscripts paragraph,DA19469,"predecessor IPSNS manuscript submitted to DAM; described as predecessor work; editorial outcome noted as documented in author records",STATUS_UNVERIFIED (inferred REJECTED),YES — wording is accurately hedged,NO,None
cover_letter,paper_coap/submission/cover_letter.tex,related manuscripts paragraph,CAIE,"CAIE manuscript described; submission history qualified as recorded in author submission logs",STATUS_UNVERIFIED (probably submitted/inactive),YES — qualification is accurate,NO,None
cover_letter,paper_coap/submission/cover_letter.tex,related manuscripts paragraph,EJCO,"EJCO package described; submission outcome qualified as recorded in author submission logs",STATUS_UNVERIFIED (package prepared; submission unconfirmed),YES — qualification is accurate,NO,None
manuscript_body,paper_coap/main.tex,Section 2,arXiv:2412.16181,"Cited as [VAH24]; described as prior work on ranking; COAP extension distinguished by IPSNS-first framework and sparse-digraph benchmarks",PREPRINT_ONLY,YES,NO,None
manuscript_body,paper_coap/main.tex,Section 2,JOCO-D-26-00099,"LR-TA is described as building on prior work; citation present; contribution delta stated",STATUS_UNVERIFIED,YES — disclosed as predecessor,NO,None
manuscript_body,paper_coap/main.tex,Section 2,DA19469,"IPSNS is described as extending prior work; citation present; contribution delta stated",STATUS_UNVERIFIED,YES — disclosed as predecessor,NO,None
manuscript_body,paper_coap/main.tex,Section 2,CAIE,"Not separately cited in §2 by venue name; the algorithms are disclosed by technical lineage",STATUS_UNVERIFIED,YES — technical overlap is disclosed; venue citation optional,NO,None
manuscript_body,paper_coap/main.tex,Section 2,EJCO,"Not separately cited in §2 by venue name; subsumed by technical lineage disclosure",STATUS_UNVERIFIED,YES — technical overlap is disclosed; venue citation optional,NO,None
related_manuscripts_statement,paper_coap/submission/related_manuscripts_statement.tex,JOCO section,JOCO-D-26-00099,"Manuscript ID JOCO-D-26-00099 disclosed; overlap described as LR-TA component; editorial outcome stated as 'documented in author records not reproduced here'",STATUS_UNVERIFIED (inferred REJECTED),YES — hedge language is accurate and defensible,NO,None
related_manuscripts_statement,paper_coap/submission/related_manuscripts_statement.tex,DAM section,DA19469,"Manuscript ID DA19469 disclosed; overlap described as IPSNS component; editorial outcome stated as 'documented in author records not reproduced here'",STATUS_UNVERIFIED (inferred REJECTED),YES — hedge language is accurate and defensible,NO,None
related_manuscripts_statement,paper_coap/submission/related_manuscripts_statement.tex,CAIE section,CAIE,"Package described; submission history qualified as 'whether and when it was submitted...is recorded in author submission logs outside this statement'",STATUS_UNVERIFIED (probably submitted),YES — accurately qualifies uncertainty; CAIE was probably formally submitted but this is not confirmed,OPTIONAL,"Author may update to 'submitted to CAIE; editorial outcome documented in author records' once submission is confirmed — not required because current language is defensible"
related_manuscripts_statement,paper_coap/submission/related_manuscripts_statement.tex,EJCO section,EJCO,"Package described; submission outcome qualified as 'submission outcome if any is recorded in author submission logs outside this statement'",STATUS_UNVERIFIED (submission unconfirmed),YES — accurately qualifies uncertainty,OPTIONAL,"Author may update to reflect confirmed submission status if EJCO was formally submitted — not required because current language is defensible"
related_manuscripts_statement,paper_coap/submission/related_manuscripts_statement.tex,arXiv section,arXiv:2412.16181,"Preprint cited; authors and arXiv ID disclosed; described as prior dissemination",PREPRINT_ONLY,YES,NO,None
