path_before,git_tracked,sha256,size_bytes,classification,canonical_replacement,planned_action,destination,reason,rollback_method,references_to_update
docs/coap_rejection_history_and_revision_plan_20260611/ADDITIONAL_EXPERIMENT_DECISION.md,yes,6732ffcc4fec2cb62dafd86e957bcc06ca879bc92261c52b52621a6c3543909a,4333,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/ADDITIONAL_EXPERIMENT_DECISION.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
docs/coap_rejection_history_and_revision_plan_20260611/COAP_EDITORIAL_RISK_MAP.md,yes,22fa9a89a73c59b413c33c358923960e1ae0e94f0037c015230a1620ca9ff1a1,4324,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/COAP_EDITORIAL_RISK_MAP.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
docs/coap_rejection_history_and_revision_plan_20260611/COVER_LETTER_CONTENT_PLAN.md,yes,1617b8cdbf0adfd956edd96aa5982362639666be0bd9a0b2ff478ae2a58c7096,5702,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/COVER_LETTER_CONTENT_PLAN.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
docs/coap_rejection_history_and_revision_plan_20260611/CURRENT_FRAMING_RISK_AUDIT.md,yes,247997bb84d60ecc07e90b363ae1be94f89b5a92e1716aadb497eefc4faa7e98,5766,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/CURRENT_FRAMING_RISK_AUDIT.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
docs/coap_rejection_history_and_revision_plan_20260611/EXECUTIVE_SUMMARY.md,yes,8501f7ce9f2b153201cc453a9e649e1a015fbd59e6fbfaf70fb569ad1ac2998d,8728,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/EXECUTIVE_SUMMARY.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
docs/coap_rejection_history_and_revision_plan_20260611/FINAL_PRE_SUBMISSION_SEQUENCE.md,yes,b6b1bee52a530ae8b5c7cec4d6a3cffcda0e2222903f725e07ee3e269c80e566,5057,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/FINAL_PRE_SUBMISSION_SEQUENCE.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
docs/coap_rejection_history_and_revision_plan_20260611/FINAL_SCIENTIFIC_NARRATIVE.md,yes,dace8de0228f80537b31b0c3fedaf84fd8007df796e04a334e3a4bc863ddb026,4136,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/FINAL_SCIENTIFIC_NARRATIVE.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
docs/coap_rejection_history_and_revision_plan_20260611/MANUSCRIPT_RESTRUCTURING_PLAN.md,yes,95c497d31e7c69a9f222e96ac8395bad869f0d7a8fbc71344cdab9cc87f37db4,4881,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/MANUSCRIPT_RESTRUCTURING_PLAN.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
docs/coap_rejection_history_and_revision_plan_20260611/OBJECTION_RESOLUTION_AUDIT.md,yes,41287415b8a05a4da0d2635cd86ce494cebd1ffce3b3a2df1efa7c80e2830c00,6009,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/OBJECTION_RESOLUTION_AUDIT.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
docs/coap_rejection_history_and_revision_plan_20260611/REJECTION_REASON_TAXONOMY.md,yes,587e23345b82a81636cf6e1669d198cee5076242ba61bc2ef77a5f60d57fd303,5399,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/REJECTION_REASON_TAXONOMY.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
docs/coap_rejection_history_and_revision_plan_20260611/SUBMISSION_LINEAGE.md,yes,2c8f27380d90f2a1dc796f503c6ce4dae78a1bf2c01e1eb83b4aafe4a89d79e4,6574,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/SUBMISSION_LINEAGE.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
docs/coap_rejection_history_and_revision_plan_20260611/SUBMISSION_PACKAGE_GAP_ANALYSIS.md,yes,2a725224302bfca48f19c17c8fb35d7200c72b4eb665899d57b6d03dce6a2f86,4772,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/SUBMISSION_PACKAGE_GAP_ANALYSIS.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
docs/coap_rejection_history_and_revision_plan_20260611/audit_metadata.json,yes,73708fcf98abbb52f5dd6c0fac2f2dced85a6c118bae58a96d1595b91a3b9b4f,2277,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/audit_metadata.json,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
docs/coap_rejection_history_and_revision_plan_20260611/source_document_inventory.json,yes,fe0ba628141b7570ed5c7a89818e547391f7c6ff23068f13b94eb15359763234,3933,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/source_document_inventory.json,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
submission_package/ejco_files_for_upload/UPLOAD_MANIFEST.md,yes,2b98289b55ab6ee62c48fc5d8b5551226e0265589213504b463dfed77e6039bd,1474,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/legacy_submission_packages/ejco_submission_package/ejco_files_for_upload/UPLOAD_MANIFEST.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
submission_package/ejco_files_for_upload/cover_letter.pdf,yes,585e2b5e71b96b6d5a915fa44a0d86940ed06cfa946205fb801f2717f069a04f,13676,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/legacy_submission_packages/ejco_submission_package/ejco_files_for_upload/cover_letter.pdf,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
submission_package/ejco_files_for_upload/ejco_reproducibility_artifact.zip,yes,b72e9c6c59464c8b6c983bd3fec4f4bbeddacbc8528e44a2635fe24362cea11d,231133,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/legacy_submission_packages/ejco_submission_package/ejco_files_for_upload/ejco_reproducibility_artifact.zip,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
submission_package/ejco_files_for_upload/ejco_source.zip,yes,7814a8759a949c82dece1a015de80e089575be3b6c0a67decb35973ea432a722,113799,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/legacy_submission_packages/ejco_submission_package/ejco_files_for_upload/ejco_source.zip,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
paper/highlights.txt,yes,a5bd75068f92554c7731c6ea577f147ff0e9576d730bbc1458b71093ab746e27,323,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/legacy_submission_packages/ejco_submission_package/ejco_files_for_upload/highlights.txt,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
submission_package/ejco_files_for_upload/main_manuscript.pdf,yes,d578b81fb6394d49022eb95e061fe1829a5891b221a029d0cda20f4e9f9d4fe3,247970,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/legacy_submission_packages/ejco_submission_package/ejco_files_for_upload/main_manuscript.pdf,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
paper/title_page.pdf,yes,dc2d7ed339ac04862c18b8b8fefd65d3be110ee07b9dfec34e4a0e0d3c232730,16056,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/legacy_submission_packages/ejco_submission_package/ejco_files_for_upload/title_page.pdf,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
submission_package/ejco_reproducibility_artifact.zip,yes,b72e9c6c59464c8b6c983bd3fec4f4bbeddacbc8528e44a2635fe24362cea11d,231133,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/legacy_submission_packages/ejco_submission_package/ejco_reproducibility_artifact.zip,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
submission_package/ejco_reproducibility_artifact/DATASETS.md,yes,5dd7c664ba4ea3559315037cc015ffed0a70450d6819a78b35be5e1e1a709563,1193,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/legacy_submission_packages/ejco_submission_package/ejco_reproducibility_artifact/DATASETS.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
submission_package/ejco_reproducibility_artifact/LICENSE,yes,7288c108a1ca89df5e19c6ee01af0137cb6297381e40b210dc52572ebefd01a1,1074,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/legacy_submission_packages/ejco_submission_package/ejco_reproducibility_artifact/LICENSE,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
submission_package/ejco_reproducibility_artifact/MANIFEST.md,yes,ec994b13a0c226654baa282e87eee1da830e789c3d1feaac7671f99158e19a9a,7251,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/legacy_submission_packages/ejco_submission_package/ejco_reproducibility_artifact/MANIFEST.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
submission_package/ejco_reproducibility_artifact/PROJECT_README.md,yes,dfa78d3dbd334dff24ad603e04c0de211672d1dddef3ba0ab4f23ff3e05f7087,1340,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/legacy_submission_packages/ejco_submission_package/ejco_reproducibility_artifact/PROJECT_README.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
submission_package/ejco_reproducibility_artifact/README.md,yes,e3f39e3e1ff66aef12447f802e186531948fd521d106fe2dc58d106ed458d8fd,2023,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/legacy_submission_packages/ejco_submission_package/ejco_reproducibility_artifact/README.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
submission_package/ejco_reproducibility_artifact/REPRODUCE.md,yes,efea61de6fa9321f08de685c7a42bec7fa99c6e56e119f1d2cec54cc42e6d143,1402,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/legacy_submission_packages/ejco_submission_package/ejco_reproducibility_artifact/REPRODUCE.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
submission_package/ejco_reproducibility_artifact/docs/baselines_and_datasets_references.md,yes,4216b008ce49f2bebaf2ffd625d0f56d71817ab331cffc5df17e7eb057d395af,9810,historical,paper_coap/ or docs/archive/,git_mv_archive,docs/archive/legacy_submission_packages/ejco_submission_package/ejco_reproducibility_artifact/docs/baselines_and_datasets_references.md,Separate stale EJCO/legacy from COAP canonical,git checkout 6c04ff1 -- path,"README, docs/INDEX.md"
