citation_key,authors,title,venue,year,volume,pages,doi,url,manuscript_use,primary_source_inspected,citation_supports_claim,flags
ACN08,"Ailon, Nir and Charikar, Moses and Newman, Alantha",Aggregating Inconsistent Information: Ranking and Clustering,Journal of the {ACM},2008,55,23:1--23:27,10.1145/1411509.1411513,,related_work; introduction; ranking context,inherited_prior_audit,yes,verified
ALS09,"Alon, Noga and Lokshtanov, Daniel and Saurabh, Saket",Fast {FAST},"Automata, Languages and Programming",2009,,49--58,,,related_work; FPT tournament,inherited_prior_audit,yes,no_DOI_in_bib
BH13,"Brandenburg, Franz J. and Hanauer, Kathrin",Sorting Heuristics for the Feedback Arc Set Problem,WALCOM: Algorithms and Computation,2013,7748,1--12,,,related_work; sorting heuristics,inherited_prior_audit,yes,no_DOI_in_bib
BSNA21,"Baharev, Ali and Schichl, Hermann and Neumaier, Arnold and Achterberg, Tobias",An Exact Method for the Minimum Feedback Arc Set Problem,ACM Journal of Experimental Algorithmics,2021,26,1.4:1--1.4:28,10.1145/3446429,,related_work; exact methods context,inherited_prior_audit,yes,dense_citation_cluster_related_work_sec2_line63
BYGR98,"Bar-Yehuda, Reuven and Geiger, Dan and Naor, Joseph (Seffi) and Roth, Ron M.",Approximation Algorithms for the Feedback Vertex Set Problem with Applications to Constraint Satisfaction and Bayesian Inference,SIAM Journal on Computing,1998,27,942--959,10.1137/S0097539796305109,,related_work; local-ratio context,inherited_prior_audit,yes,dense_citation_cluster_related_work_sec2_line63
CC25,"Cavallaro, C. and Cutello, V.",An Efficient Heuristic Algorithm to Compute Minimal and Stable Weighted Feedback Arc Sets,Proceedings of the International Conference on Software Engineering and Knowledge Engineering ({SEKE}),2025,,84--87,10.18293/SEKE2025-049,,algorithm; introduction; related_work; discussion,inherited_prior_audit,yes,verified
CCP24,"Cavallaro, Claudia and Cutello, Vincenzo and Pavone, Mario",Efficient Heuristics to Compute Minimal and Stable Feedback Arc Sets,Journal of Combinatorial Optimization,2024,48,,10.1007/s10878-024-01209-8,,algorithm; related_work,inherited_prior_audit,yes,verified
CFR10,"Coppersmith, Don and Fleischer, Lisa K. and Rurda, Atri",Ordering by Weighted Number of Wins Gives a Good Ranking for Weighted Tournaments,ACM Transactions on Algorithms,2010,6,55:1--55:13,10.1145/1798596.1798608,,related_work; experimental_design; baselines,inherited_prior_audit,yes,verified
DF03,"Demetrescu, Camil and Finocchi, Irene",Combinatorial Algorithms for Feedback Problems in Directed Graphs,Information Processing Letters,2003,86,129--136,10.1016/S0020-0190(02)00491-X,,related_work; algorithm; introduction; discussion,inherited_prior_audit,yes,dense_citation_cluster_related_work_sec2_line63
EL95,"Eades, Peter and Lin, Xuemin",A Heuristic for the Feedback Arc Set Problem,Australasian Journal of Combinatorics,1995,12,15--25,,,related_work; historical context,inherited_prior_audit,yes,no_DOI; journal record only
ELS93,"Eades, Peter and Lin, Xuemin and Smyth, W. F.",A Fast and Effective Heuristic for the Feedback Arc Set Problem,Information Processing Letters,1993,47,319--323,10.1016/0020-0190(93)90079-O,,related_work; experimental_design; baselines,inherited_prior_audit,yes,verified
ENSS98,"Even, Guy and Naor, Joseph (Seffi) and Schieber, Baruch and Sudan, Madhu",Approximating Minimum Feedback Sets and Multicuts in Directed Graphs,Algorithmica,1998,20,151--174,10.1007/PL00009191,,related_work; approximation context,inherited_prior_audit,yes,dense_citation_cluster_related_work_sec2_line63
F90,"Flood, Merrill M.",Exact and Heuristic Algorithms for the Weighted Feedback Arc Set Problem: A Special Case of the Skew-Symmetric Quadratic Assignment Problem,Networks,1990,20,1--23,10.1002/net.3230200102,,related_work; problem_definition; introduction,inherited_prior_audit,yes,dense_citation_cluster_related_work_sec2_line21
FLRS10,"Fomin, Fedor V. and Lokshtanov, Daniel and Raman, Venkatesh and Saurabh, Saket",Fast Local Search Algorithm for Weighted Feedback Arc Set in Tournaments,Proceedings of the AAAI Conference on Artificial Intelligence,2010,24,65--70,10.1609/aaai.v24i1.7557,,related_work; results; discussion; dense ordering,inherited_prior_audit,yes,dense_citation_cluster_related_work_sec2_line63
GNNRank22,"He, Yixuan and Gan, Quan and Wipf, David and Reinert, Gesine D. and Yan, Junchi and Cucuringu, Mihai",GNNRank: Learning Global Rankings from Pairwise Comparisons via Directed Graph Neural Networks,Proceedings of the 39th International Conference on Machine Learning,2022,162,8581--8612,,https://proceedings.mlr.press/v162/he22b.html,related_work; experimental_design; excluded baseline,inherited_prior_audit,yes,dense_citation_cluster_related_work_sec2_line63
HGH21,"Hecht, Michael and Gonciarz, Krzysztof and Horv{\'a}t, Szabolcs",Tight Localizations of Feedback Sets,ACM Journal of Experimental Algorithmics,2021,26,1.3:1--1.3:19,10.1145/3447652,,related_work; algorithm-engineering context,inherited_prior_audit,yes,verified
HuangfuHall2018,"Huangfu, Qi and Hall, Julian",Parallelizing the Dual Revised Simplex Method,Mathematical Programming Computation,2018,10,119--142,10.1007/s12532-017-0130-5,,experimental_design; MIP/HiGHS backend,inherited_prior_audit,yes,verified
K72,"Karp, Richard M.",Reducibility among Combinatorial Problems,Complexity of Computer Computations,1972,,85--103,10.1007/978-1-4684-2001-2_9,,related_work; problem_definition; introduction; NP-hardness,inherited_prior_audit,yes,dense_citation_cluster_related_work_sec2_line21
LC66,"Lempel, A. and Cederbaum, I.",Minimum Feedback Arc and Vertex Sets of a Directed Graph,IEEE Transactions on Circuit Theory,1966,13,399--403,10.1109/TCT.1966.1082620,,related_work; historical formulation,inherited_prior_audit,yes,dense_citation_cluster_related_work_sec2_line21
LHK10WikiVote,"Leskovec, Jure and Huttenlocher, Daniel and Kleinberg, Jon",Predicting Positive and Negative Links in Online Social Networks,Proceedings of the 19th International Conference on World Wide Web,2010,,641--650,10.1145/1772690.1772756,,experimental_design; EXP9 application case; table_application_case,inherited_prior_audit,yes,SNAP_Wikipedia_dataset_application; peer-reviewed WWW2010 source not Wikipedia
MRD12,"Marti, Rafael and Reinelt, Gerhard and Duarte, Abraham",A Benchmark Library and a Comparison of Heuristic Methods for the Linear Ordering Problem,Computational Optimization and Applications,2012,51,1297--1317,10.1007/s10589-010-9384-9,,related_work; experimental_design; LOLIB,inherited_prior_audit,yes,dense_citation_cluster_related_work_sec2_line63
OZ24,"Ostovari, Mojtaba and Zarei, Alireza",A Better {LP} Rounding for Feedback Arc Set on Tournaments,Theoretical Computer Science,2024,1015,114768,10.1016/j.tcs.2024.114768,,results; discussion; dense ordering,inherited_prior_audit,yes,verified
SST16,"Simpson, Michael and Srinivasan, Venkatesh and Thomo, Alex",Efficient Computation of Feedback Arc Set at Web-Scale,Proceedings of the VLDB Endowment,2016,10,133--144,10.14778/3021924.3021930,,related_work; web-scale context,inherited_prior_audit,yes,dense_citation_cluster_related_work_sec2_line63
VahidiKoutis2024arxiv,"Vahidi, Soroush and Koutis, Ioannis",Ranking from Pairwise Comparisons as Minimum Weighted Feedback Arc Set,,2024,,,10.48550/arXiv.2412.16181,https://arxiv.org/abs/2412.16181,related_work; introduction; algorithm; declarations,inherited_prior_audit,yes,verified
drmaciver_feedback_arc_set,{DRMacIver},Feedback-Arc-Set,\url{https://github.com/DRMacIver/Feedback-Arc-Set},2026,,,,,related_work; experimental_design; external baseline,inherited_prior_audit,yes,software_repo_misc
graph_benchmarks_repo,{Ali Dasdan},graph-benchmarks: Directed Graph Benchmarks in DIMACS Graph Format,\url{https://github.com/alidasdan/graph-benchmarks},2026,,,,,related_work; experimental_design; sparse benchmark,inherited_prior_audit,yes,software_repo_misc
lolib_library,"Marti, Rafael",LOLIB: Linear Ordering Problem Library,\url{https://www.uv.es/~rmarti/paper/lop.html},2010,,,,,related_work; experimental_design; dataset provenance,inherited_prior_audit,yes,web_page_misc
lop_ma_edm_repo,{Carlos Segura},LOP\_MA-EDM: Memetic Algorithms with Explicit Diversity Management for the Linear Ordering Problem,\url{https://github.com/carlossegurag/LOP_MA-EDM},2026,,,,,experimental_design; discussion; excluded dense solver,inherited_prior_audit,yes,software_repo_misc
python_igraph_feedback_arc_set,{python-igraph developers},python-igraph documentation: \texttt{Graph.feedback\_arc\_set},\url{https://python.igraph.org/en/stable/api/igraph.Graph.html},2026,,,,,related_work; experimental_design; baseline,inherited_prior_audit,yes,documentation_misc
